Date,Num Highs,Num Lows,Stock Price Strength
1996-01-03,213.0,213.0,50.0
1996-01-04,75.0,154.0,32.751091703056765
1996-01-05,53.0,118.0,30.994152046783626
1996-01-08,60.0,69.0,46.51162790697674
1996-01-09,30.0,118.0,20.27027027027027
1996-01-10,13.0,146.0,8.176100628930817
1996-01-11,18.0,61.0,22.78481012658228
1996-01-12,16.0,65.0,19.753086419753085
1996-01-15,19.0,65.0,22.61904761904762
1996-01-16,37.0,39.0,48.68421052631579
1996-01-17,30.0,46.0,39.473684210526315
1996-01-18,32.0,46.0,41.02564102564102
1996-01-19,31.0,37.0,45.588235294117645
1996-01-02,57.0,16.0,78.08219178082192
1996-01-22,34.0,28.0,54.83870967741935
1996-01-23,32.0,22.0,59.25925925925925
1996-01-24,55.0,14.0,79.71014492753623
1996-01-25,35.0,20.0,63.63636363636363
1996-01-26,50.0,14.0,78.125
1996-01-29,51.0,12.0,80.95238095238095
1996-01-30,81.0,13.0,86.17021276595744
1996-01-31,83.0,4.0,95.40229885057471
1996-02-01,67.0,4.0,94.36619718309859
1996-02-02,32.0,5.0,86.48648648648648
1996-02-05,58.0,7.0,89.23076923076924
1996-02-06,70.0,6.0,92.10526315789474
1996-02-07,67.0,5.0,93.05555555555556
1996-02-08,98.0,5.0,95.14563106796116
1996-02-09,72.0,6.0,92.3076923076923
1996-02-12,100.0,5.0,95.23809523809523
1996-02-13,67.0,8.0,89.33333333333333
1996-02-14,28.0,7.0,80.0
1996-02-15,33.0,6.0,84.61538461538461
1996-02-16,17.0,5.0,77.27272727272727
1996-02-20,14.0,11.0,56.00000000000001
1996-02-21,27.0,6.0,81.81818181818183
1996-02-22,61.0,5.0,92.42424242424242
1996-02-23,50.0,9.0,84.7457627118644
1996-02-26,22.0,16.0,57.89473684210527
1996-02-27,15.0,12.0,55.55555555555556
1996-02-28,19.0,14.0,57.57575757575758
1996-02-29,9.0,18.0,33.33333333333333
1996-03-01,18.0,10.0,64.28571428571429
1996-03-04,41.0,8.0,83.6734693877551
1996-03-05,35.0,5.0,87.5
1996-03-06,22.0,8.0,73.33333333333333
1996-03-07,16.0,8.0,66.66666666666666
1996-03-08,4.0,21.0,16.0
1996-03-11,12.0,9.0,57.14285714285714
1996-03-12,18.0,23.0,43.90243902439025
1996-03-13,28.0,20.0,58.333333333333336
1996-03-14,28.0,16.0,63.63636363636363
1996-03-15,19.0,18.0,51.35135135135135
1996-03-18,39.0,4.0,90.69767441860465
1996-03-19,27.0,3.0,90.0
1996-03-20,13.0,5.0,72.22222222222221
1996-03-21,8.0,4.0,66.66666666666666
1996-03-22,14.0,4.0,77.77777777777779
1996-03-25,15.0,6.0,71.42857142857143
1996-03-26,20.0,6.0,76.92307692307693
1996-03-27,7.0,7.0,50.0
1996-03-28,11.0,6.0,64.70588235294117
1996-03-29,8.0,7.0,53.333333333333336
1996-04-01,22.0,8.0,73.33333333333333
1996-04-02,15.0,4.0,78.94736842105263
1996-04-03,11.0,3.0,78.57142857142857
1996-04-04,16.0,6.0,72.72727272727273
1996-04-08,5.0,17.0,22.727272727272727
1996-04-09,14.0,15.0,48.275862068965516
1996-04-10,6.0,27.0,18.181818181818183
1996-04-11,10.0,26.0,27.77777777777778
1996-04-12,6.0,9.0,40.0
1996-04-15,13.0,8.0,61.904761904761905
1996-04-16,18.0,10.0,64.28571428571429
1996-04-17,8.0,10.0,44.44444444444444
1996-04-18,17.0,8.0,68.0
1996-04-19,17.0,12.0,58.620689655172406
1996-04-22,21.0,9.0,70.0
1996-04-23,31.0,8.0,79.48717948717949
1996-04-24,32.0,8.0,80.0
1996-04-25,31.0,7.0,81.57894736842105
1996-04-26,22.0,6.0,78.57142857142857
1996-04-29,14.0,5.0,73.68421052631578
1996-04-30,15.0,6.0,71.42857142857143
1996-05-01,22.0,4.0,84.61538461538461
1996-05-02,7.0,16.0,30.434782608695656
1996-05-03,12.0,23.0,34.285714285714285
1996-05-06,7.0,17.0,29.166666666666668
1996-05-07,7.0,18.0,28.000000000000004
1996-05-08,9.0,7.0,56.25
1996-05-09,9.0,6.0,60.0
1996-05-10,16.0,6.0,72.72727272727273
1996-05-13,36.0,1.0,97.2972972972973
1996-05-14,29.0,2.0,93.54838709677419
1996-05-15,18.0,1.0,94.73684210526315
1996-05-16,18.0,2.0,90.0
1996-05-17,29.0,2.0,93.54838709677419
1996-05-20,35.0,3.0,92.10526315789474
1996-05-21,30.0,4.0,88.23529411764706
1996-05-22,37.0,2.0,94.87179487179486
1996-05-23,20.0,4.0,83.33333333333334
1996-05-24,20.0,2.0,90.9090909090909
1996-05-28,5.0,4.0,55.55555555555556
1996-05-29,5.0,4.0,55.55555555555556
1996-05-30,6.0,4.0,60.0
1996-05-31,10.0,5.0,66.66666666666666
1996-06-03,6.0,3.0,66.66666666666666
1996-06-04,15.0,1.0,93.75
1996-06-05,31.0,1.0,96.875
1996-06-06,16.0,2.0,88.88888888888889
1996-06-07,13.0,3.0,81.25
1996-06-10,17.0,4.0,80.95238095238095
1996-06-11,13.0,3.0,81.25
1996-06-12,14.0,3.0,82.35294117647058
1996-06-13,7.0,4.0,63.63636363636363
1996-06-14,6.0,3.0,66.66666666666666
1996-06-17,6.0,5.0,54.54545454545454
1996-06-18,1.0,9.0,10.0
1996-06-19,1.0,3.0,25.0
1996-06-20,4.0,7.0,36.36363636363637
1996-06-21,8.0,7.0,53.333333333333336
1996-06-24,9.0,9.0,50.0
1996-06-25,12.0,10.0,54.54545454545454
1996-06-26,5.0,10.0,33.33333333333333
1996-06-27,7.0,9.0,43.75
1996-06-28,8.0,2.0,80.0
1996-07-01,17.0,3.0,85.0
1996-07-02,13.0,2.0,86.66666666666667
1996-07-03,13.0,5.0,72.22222222222221
1996-07-05,0.0,9.0,0.0
1996-07-08,1.0,15.0,6.25
1996-07-09,5.0,13.0,27.77777777777778
1996-07-10,5.0,11.0,31.25
1996-07-11,3.0,20.0,13.043478260869565
1996-07-12,3.0,13.0,18.75
1996-07-15,0.0,32.0,0.0
1996-07-16,0.0,26.0,0.0
1996-07-17,1.0,16.0,5.88235294117647
1996-07-18,3.0,6.0,33.33333333333333
1996-07-19,1.0,14.0,6.666666666666667
1996-07-31,6.0,20.0,23.076923076923077
1996-08-30,24.0,5.0,82.75862068965517
1996-09-30,73.0,4.0,94.8051948051948
1996-10-31,66.0,8.0,89.1891891891892
1996-11-29,113.0,1.0,99.12280701754386
1996-12-31,45.0,7.0,86.53846153846155
1997-01-31,86.0,10.0,89.58333333333334
1997-02-28,82.0,7.0,92.13483146067416
1997-03-27,44.0,9.0,83.01886792452831
1997-04-30,76.0,11.0,87.35632183908046
1997-05-30,123.0,4.0,96.8503937007874
1996-07-22,5.0,12.0,29.411764705882355
1996-07-23,5.0,14.0,26.31578947368421
1996-07-24,5.0,18.0,21.73913043478261
1996-07-25,5.0,12.0,29.411764705882355
1996-07-26,6.0,6.0,50.0
1996-07-29,5.0,11.0,31.25
1996-07-30,5.0,8.0,38.46153846153847
1996-08-01,5.0,4.0,55.55555555555556
1996-08-02,5.0,4.0,55.55555555555556
1996-08-05,5.0,3.0,62.5
1996-08-06,5.0,5.0,50.0
1996-08-07,5.0,3.0,62.5
1996-08-08,5.0,3.0,62.5
1996-08-09,5.0,4.0,55.55555555555556
1996-08-12,6.0,4.0,60.0
1996-08-13,5.0,3.0,62.5
1996-08-14,5.0,3.0,62.5
1996-08-15,6.0,4.0,60.0
1996-08-16,5.0,3.0,62.5
1996-08-19,5.0,3.0,62.5
1996-08-20,5.0,3.0,62.5
1996-08-21,5.0,3.0,62.5
1996-08-22,6.0,3.0,66.66666666666666
1996-08-23,5.0,3.0,62.5
1996-08-26,5.0,3.0,62.5
1996-08-27,5.0,3.0,62.5
1996-08-28,5.0,3.0,62.5
1996-08-29,5.0,4.0,55.55555555555556
1996-09-03,6.0,7.0,46.15384615384615
1996-09-04,6.0,4.0,60.0
1996-09-05,6.0,7.0,46.15384615384615
1996-09-06,6.0,5.0,54.54545454545454
1996-09-09,6.0,3.0,66.66666666666666
1996-09-10,5.0,3.0,62.5
1996-09-11,5.0,4.0,55.55555555555556
1996-09-12,5.0,4.0,55.55555555555556
1996-09-13,6.0,3.0,66.66666666666666
1996-09-16,7.0,3.0,70.0
1996-09-17,5.0,3.0,62.5
1996-09-18,5.0,4.0,55.55555555555556
1996-09-19,6.0,4.0,60.0
1996-09-20,6.0,3.0,66.66666666666666
1996-09-23,5.0,3.0,62.5
1996-09-24,6.0,3.0,66.66666666666666
1996-09-25,5.0,3.0,62.5
1996-09-26,5.0,4.0,55.55555555555556
1996-09-27,5.0,4.0,55.55555555555556
1996-10-01,7.0,3.0,70.0
1996-10-02,6.0,3.0,66.66666666666666
1996-10-03,5.0,3.0,62.5
1996-10-04,5.0,3.0,62.5
1996-10-07,5.0,3.0,62.5
1996-10-08,5.0,3.0,62.5
1996-10-09,6.0,4.0,60.0
1996-10-10,5.0,3.0,62.5
1996-10-11,5.0,4.0,55.55555555555556
1996-10-14,5.0,4.0,55.55555555555556
1996-10-15,6.0,3.0,66.66666666666666
1996-10-16,5.0,3.0,62.5
1996-10-17,5.0,3.0,62.5
1996-10-18,5.0,4.0,55.55555555555556
1996-10-21,5.0,4.0,55.55555555555556
1996-10-22,5.0,3.0,62.5
1996-10-23,5.0,3.0,62.5
1996-10-24,5.0,3.0,62.5
1996-10-25,5.0,3.0,62.5
1996-10-28,5.0,4.0,55.55555555555556
1996-10-29,5.0,3.0,62.5
1996-10-30,5.0,4.0,55.55555555555556
1996-11-01,5.0,5.0,50.0
1996-11-04,5.0,7.0,41.66666666666667
1996-11-05,6.0,5.0,54.54545454545454
1996-11-06,7.0,5.0,58.333333333333336
1996-11-07,6.0,6.0,50.0
1996-11-08,5.0,4.0,55.55555555555556
1996-11-11,5.0,4.0,55.55555555555556
1996-11-12,7.0,4.0,63.63636363636363
1996-11-13,5.0,5.0,50.0
1996-11-14,6.0,4.0,60.0
1996-11-15,5.0,4.0,55.55555555555556
1996-11-18,8.0,3.0,72.72727272727273
1996-11-19,6.0,3.0,66.66666666666666
1996-11-20,5.0,3.0,62.5
1996-11-21,5.0,3.0,62.5
1996-11-22,7.0,3.0,70.0
1996-11-25,9.0,3.0,75.0
1996-11-26,6.0,3.0,66.66666666666666
1996-11-27,7.0,3.0,70.0
1996-12-02,10.0,3.0,76.92307692307693
1996-12-03,6.0,3.0,66.66666666666666
1996-12-04,4.0,3.0,57.14285714285714
1996-12-05,4.0,3.0,57.14285714285714
1996-12-06,4.0,4.0,50.0
1996-12-09,4.0,3.0,57.14285714285714
1996-12-10,5.0,3.0,62.5
1996-12-11,4.0,4.0,50.0
1996-12-12,4.0,4.0,50.0
1996-12-13,4.0,3.0,57.14285714285714
1996-12-16,4.0,4.0,50.0
1996-12-17,4.0,4.0,50.0
1996-12-18,4.0,4.0,50.0
1996-12-19,4.0,3.0,57.14285714285714
1996-12-20,4.0,3.0,57.14285714285714
1996-12-23,5.0,3.0,62.5
1996-12-24,5.0,3.0,62.5
1996-12-26,6.0,3.0,66.66666666666666
1996-12-27,4.0,3.0,57.14285714285714
1996-12-30,4.0,3.0,57.14285714285714
1997-01-02,5.0,4.0,55.55555555555556
